2024 Data,,
Zone,State,Under 5
NCZ,Benue," 896,436 "
NCZ,"FCT, Abuja"," 484,973 "
NCZ,Kogi," 759,485 "
NCZ,Kwara," 628,900 "
NCZ,Nasarawa," 526,402 "
NCZ,Niger," 1,157,059 "
NCZ,Plateau," 743,598 "
NEZ,Adamawa," 871,779 "
NEZ,Bauchi," 1,641,457 "
NEZ,Borno," 905,055 "
NEZ,Gombe," 732,333 "
NEZ,Taraba," 611,196 "
NEZ,Yobe," 605,098 "
NWZ,Jigawa," 1,526,380 "
NWZ,Kaduna," 1,595,569 "
NWZ,Kano," 2,678,524 "
NWZ,Katsina," 2,176,226 "
NWZ,Kebbi," 1,128,644 "
NWZ,Sokoto," 1,174,070 "
NWZ,Zamfara," 1,068,773 "
SEZ,ABIA," 696,975 "
SEZ,ANAMBRA," 911,511 "
SEZ,EBONYI," 570,789 "
SEZ,ENUGU," 744,187 "
SEZ,IMO," 808,066 "
SSZ,Akwa Ibom," 632,917 "
SSZ,Bayelsa," 345,263 "
SSZ,Cross River," 538,324 "
SSZ,Delta," 848,079 "
SSZ,Edo," 736,538 "
SSZ,Rivers," 1,008,124 "
SWZ,Ekiti," 555,979 "
SWZ,Lagos," 1,509,597 "
SWZ,Ogun," 776,421 "
SWZ,Ondo," 738,699 "
SWZ,Osun," 593,693 "
SWZ,Oyo," 1,166,403 "
